comp gfa{AM,AC,CR}
Al20Cu70Ti10 CR
Al25Cu0Ti75 CR
Al25Cu5Ti70 CR
Al30Cu0Ti70 CR
Al30Cu10Ti60 CR
Al35Cu0Ti65 CR
Al35Cu5Ti60 CR
Al40Cu0Ti60 CR
Al40Cu10Ti50 CR
Al40Cu20Ti40 CR
Al40Cu60Ti0 CR
Al45Cu0Ti55 CR
Al45Cu5Ti50 CR
Al45Cu10Ti45 CR
Al45Cu20Ti35 CR
Al50Cu5Ti45 CR
Al50Cu10Ti40 CR
Al50Cu20Ti30 CR
Al50Cu30Ti20 CR
Al50Cu50Ti0 CR
Al55Cu0Ti45 CR
Al55Cu10Ti35 CR
Al60Cu0Ti40 CR
Al60Cu5Ti35 CR
Al60Cu10Ti30 CR
Al60Cu20Ti20 CR
Al60Cu40Ti0 CR
Al65Cu0Ti35 CR
Al70Cu0Ti30 CR
Al70Cu10Ti20 CR
Al70Cu30Ti0 CR
Al80Cu0Ti20 CR
Al0Cu40Ti60 AM
Al5Cu38Ti57 AM
Al15Cu34Ti51 AM
Al20Cu32Ti48 AM
Al10Cu25Ti65 AM
Al10Cu50Ti40 AM
Al55Cu35V10 AM
Al60Cu30V10 AM
Al65Cu20V15 AM
Al65Cu25V10 AM
Al65Cu30V5 AM
Al67Cu20V13 AM
Al70Cu20V10 AM
Al75Cu15V10 AM
Al75Cu20V5 AM
Al80Cu10V10 AM
Al80Cu15V5 AM
Al85Cu5V10 AM
Al60Cu35V5 AC
Al65Cu20V15 AC
Al70Cu25V5 AC
Al75Cu10V15 AC
Al80Cu5V15 AC
Al87Cu5V8 AC
Al50Cu40V10 CR
Al60Cu25V15 CR
Al65Cu15V20 CR
Al75Cu25V0 CR
Al77Cu20V3 CR
Al80Cu20V0 CR
Al87Cu8V5 CR
Al75Cu15V10 AM
Al75Cu15V10 AM
Al0Cu40Y60 AM
Al5Cu38Y57 AM
Al10Cu36Y54 AM
Al15Cu34Y51 AM
Al20Cu32Y48 AM
Al30Cu28Y42 AM
Al80Cu8Y12 AM
Al85Cu6Y9 AM
Al0Cu40Zr60 AM
Al0Cu56Zr44 AM
Al0Cu60Zr40 AM
Al20Cu25Zr55 AM
Al15Cu25Zr60 AM
Al10Cu25Zr65 AM
Al7.5Cu27.5Zr65 AM
Al0Cu33Zr67 AM
Al5Cu30Zr65 AM
Al7.5Cu27.5Zr65 AM
Al10Cu25Zr65 AM
Al15Cu20Zr65 AM
Al20Cu15Zr65 AM
Al33.4Fe33.3Gd33.3 AM
Al42Fe10Ge48 AM
Al52Fe23Ge25 AM
Al69Fe6Ge25 AM
Al78Fe10Ge12 AM
Al25Fe20La55 AM
Al75Fe14Ni11 AM
Al87Fe1Ni12 AM
Al88Fe3Ni9 AM
Al82Fe4Ni14 AC
Al84Fe2Ni14 AC
Al86Fe0Ni14 AC
Al86Fe1Ni13 AC
Al86Fe2Ni12 AC
Al86Fe5Ni9 AC
Al86Fe8Ni6 AC
Al87Fe1Ni12 AC
Al87Fe4Ni9 AC
Al87Fe5Ni8 AC
Al88Fe0Ni12 AC
Al88Fe1Ni11 AC
Al88Fe2Ni10 AC
Al88Fe4Ni8 AC
Al88Fe5Ni7 AC
Al88Fe6Ni6 AC
Al88Fe8Ni4 AC
Al88Fe10Ni2 AC
Al88Fe12Ni0 AC
Al89Fe1Ni10 AC
Al89Fe2Ni9 AC
Al89Fe3Ni8 AC
Al89Fe5Ni6 AC
Al90Fe0Ni10 AC
Al90Fe2Ni8 AC
Al90Fe4Ni6 AC
Al90Fe5Ni5 AC
Al90Fe6Ni4 AC
Al90Fe8Ni2 AC
Al90Fe10Ni0 AC
Al92Fe0Ni8 AC
Al92Fe2Ni6 AC
Al92Fe4Ni4 AC
Al92Fe6Ni2 AC
Al92Fe8Ni0 AC
Al94Fe6Ni0 AC
Al94Fe0Ni6 CR
Al94Fe2Ni4 CR
Al94Fe4Ni2 CR
Al96Fe0Ni4 CR
Al96Fe2Ni2 CR
Al96Fe4Ni0 CR
Al98Fe0Ni2 CR
Al98Fe2Ni0 CR
Al86Fe2Ni12 AM
Al86Fe3Ni11 AM
Al86.7Fe1Ni12.3 AM
Al87Fe1Ni12 AM
Al87Fe2Ni11 AM
Al87Fe3Ni10 AM
Al87.5Fe0.5Ni12 AM
Al87.5Fe2Ni10.5 AM
Al87.5Fe3.5Ni9 AM
Al88Fe1Ni11 AM
Al88Fe3Ni9 AM
Al88.5Fe3Ni8.5 AM
Al82Fe4Ni14 AC
Al83Fe3Ni14 AC
Al84Fe2Ni14 AC
Al84Fe3Ni13 AC
Al84Fe4Ni12 AC
Al85Fe1Ni14 AC
Al85Fe2Ni13 AC
Al85Fe3Ni12 AC
Al85Fe5Ni10 AC
Al86Fe0Ni14 AC
Al86Fe1Ni13 AC
Al86Fe2Ni12 AC
Al86Fe3Ni11 AC
Al86Fe4Ni10 AC
Al86Fe7Ni7 AC
Al87Fe5Ni8 AC
Al87Fe6Ni7 AC
Al88Fe0Ni12 AC
Al88Fe1Ni11 AC
Al88Fe2Ni10 AC
Al88Fe4Ni8 AC
Al88Fe5Ni7 AC
Al88Fe6Ni6 AC
Al88Fe8Ni4 AC
Al88Fe8Ni4 AC
Al88Fe10Ni2 AC
Al89Fe1Ni10 AC
Al89Fe2Ni9 AC
Al89Fe3Ni8 AC
Al89Fe4Ni7 AC
Al89Fe5Ni6 AC
Al89Fe6Ni5 AC
Al89Fe7Ni4 AC
Al89Fe9Ni2 AC
Al90Fe0Ni10 AC
Al90Fe1Ni9 AC
Al90Fe2Ni8 AC
Al90Fe4Ni6 AC
Al90Fe5Ni5 AC
Al90Fe6Ni4 AC
Al90Fe8Ni2 AC
Al90Fe8Ni2 AC
Al90Fe10Ni0 AC
Al90Fe10Ni0 AC
Al91Fe1Ni8 AC
Al91Fe2Ni7 AC
Al91Fe3Ni6 AC
Al91Fe6Ni3 AC
Al92Fe0Ni8 AC
Al92Fe2Ni6 AC
Al92Fe4Ni4 AC
Al92Fe5Ni3 AC
Al92Fe6Ni2 AC
Al92Fe8Ni0 AC
Al92Fe8Ni0 AC
Al94Fe6Ni0 AC
Al94Fe6Ni0 AC
Al94Fe0Ni6 CR
Al94Fe0Ni6 CR
Al94Fe2Ni4 CR
Al94Fe2Ni4 CR
Al94Fe4Ni2 CR
Al94Fe4Ni2 CR
Al96Fe0Ni4 CR
Al96Fe0Ni4 CR
Al96Fe2Ni2 CR
Al96Fe2Ni2 CR
Al96Fe4Ni0 CR
Al96Fe4Ni0 CR
Al98Fe0Ni2 CR
Al98Fe0Ni2 CR
Al98Fe2Ni0 CR
Al98Fe2Ni0 CR
Al100Fe0Ni0 CR
Al82Fe4Ni14 CR
Al84Fe4Ni12 CR
Al84Fe6Ni10 CR
Al84Fe8Ni8 CR
Al86Fe6Ni8 CR
Al86Fe8Ni6 CR
Al86Fe10Ni4 CR
Al86Fe12Ni2 CR
Al88Fe10Ni2 CR
Al88Fe12Ni0 CR
Al0Fe80P20 AM
Al3Fe80P17 AM
Al5Fe85Si10 AM
Al84Fe14Si2 AC
Al85Fe8Si7 AC
Al86Fe12Si2 AC
Al88Fe10Si2 AC
Al90Fe8Si2 CR
Al52Fe23Si25 AM
Al63Fe12Si25 AM
Al2.5Fe65Tb32.5 AM
Al7.5Fe61.7Tb30.8 AM
Al0Fe66.7Tb33.3 CR
Al15Fe56.7Tb28.3 CR
Al0Fe90Zr10 AM
Al0.018Fe89.982Zr10 AM
Al0.036Fe89.964Zr10 AM
Al0.054Fe89.946Zr10 AM
Al0.09Fe89.91Zr10 AM
Al22.5Fe67.5Zr10 AM
Al15Fe15Zr70 AM
Al8Ga16Mg76 AM
Al12Ga12Mg76 AM
Al18Ga36Mg46 AM
Al8Ga2Mg90 CR
Al8Ga3Mg89 CR
Al9Ga2Mg89 CR
Al65Gd15Ni20 AM
Al70Gd10Ni20 AM
Al70Gd15Ni15 AM
Al74Gd10Ni16 AM
Al75Gd10Ni15 AM
Al78Gd12Ni10 AM
Al80Gd5Ni15 AM
Al80Gd10Ni10 AM
Al81Gd9Ni10 AM
Al83Gd5Ni12 AM
Al83Gd7Ni10 AM
Al83Gd9Ni8 AM
Al84Gd10Ni6 AM
Al85Gd5Ni10 AM
Al85Gd8Ni7 AM
Al85Gd9Ni6 AM
Al85Gd10Ni5 AM
Al87Gd5Ni8 AM
Al87Gd7Ni6 AM
Al88Gd12Ni0 AM
Al90Gd5Ni5 AM
Al90Gd10Ni0 AM
Al92Gd8Ni0 AM
Al75Gd15Ni10 AC
Al60Gd20Ni20 CR
Al70Gd20Ni10 CR
Al75Gd5Ni20 CR
Al80Gd15Ni5 CR
Al85Gd15Ni0 CR
Al94Gd6Ni0 CR
Al25Gd55Ni20 AM
Al0Gd56Si44 AM
Al40Gd60Si0 AM
Al45Gd55Si0 AM
Al50Gd50Si0 AM
Al55Gd45Si0 AM
Al50Ge40Mn10 AM
Al42Ge48Mn10 AM
Al57Ge25Mn18 AM
Al69Ge25Mn6 AM
Al73Ge17Mn10 AM
Al60Ge30Mn10 AM
Al65Ge15Mn20 CR
Al59Ge31Ni10 AM
Al62Ge25Ni13 AM
Al64Ge26Ni10 AM
Al69Ge25Ni6 AM
Al60Ge30Ni10 AM
Al55Ge30V15 AM
Al55Ge35V10 AM
Al60Ge25V15 AM
Al60Ge30V10 AM
Al65Ge25V10 AM
Al45Ge40V15 CR
Al50Ge25V25 CR
Al50Ge30V20 CR
Al50Ge35V15 CR
Al50Ge40V10 CR
Al55Ge25V20 CR
Al60Ge20V20 CR
Al60Ge35V5 CR
Al65Ge20V15 CR
Al65Ge30V5 CR
Al70Ge20V10 CR
Al70Ge25V5 CR
Al75Ge15V10 CR
Al52Ge38V10 AM
Al57Ge25V18 AM
Al68Ge22V10 AM
Al69Ge25V6 AM
Al10Hf65Ni25 AM
Al10Hf65Ni25 AM
Al25La55Mn20 AM
Al85La7.5Mo7.5 AM
Al85La7.5Nb7.5 AM
Al0La60Ni40 AM
Al0La70Ni30 AM
Al5La40Ni55 AM
Al5La55Ni40 AM
Al5La65Ni30 AM
Al5La75Ni20 AM
Al10La30Ni60 AM
Al10La35Ni55 AM
Al10La40Ni50 AM
Al10La45Ni45 AM
Al10La50Ni40 AM
Al10La55Ni35 AM
Al10La60Ni30 AM
Al10La65Ni25 AM
Al10La70Ni20 AM
Al10La75Ni15 AM
Al10La80Ni10 AM
Al15La30Ni55 AM
Al15La40Ni45 AM
Al15La50Ni35 AM
Al15La55Ni30 AM
Al15La60Ni25 AM
Al15La65Ni20 AM
Al15La70Ni15 AM
Al15La75Ni10 AM
Al15La80Ni5 AM
Al20La30Ni50 AM
Al20La35Ni45 AM
Al20La40Ni40 AM
Al20La45Ni35 AM
Al20La50Ni30 AM
Al20La55Ni25 AM
Al20La60Ni20 AM
Al20La65Ni15 AM
Al20La70Ni10 AM
Al20La75Ni5 AM
Al20La80Ni0 AM
Al25La30Ni45 AM
Al25La40Ni35 AM
Al25La45Ni30 AM
Al25La50Ni25 AM
Al25La55Ni20 AM
Al25La60Ni15 AM
Al25La65Ni10 AM
Al25La70Ni5 AM
Al30La20Ni50 AM
Al30La25Ni45 AM
Al30La30Ni40 AM
Al30La35Ni35 AM
Al30La40Ni30 AM
Al30La45Ni25 AM
Al30La50Ni20 AM
Al30La55Ni15 AM
Al30La60Ni10 AM
Al30La65Ni5 AM
Al35La25Ni40 AM
Al35La30Ni35 AM
Al35La35Ni30 AM
Al35La40Ni25 AM
Al35La45Ni20 AM
Al35La50Ni15 AM
Al35La55Ni10 AM
Al35La60Ni5 AM
Al40La20Ni40 AM
Al40La25Ni35 AM
Al40La30Ni30 AM
Al40La35Ni25 AM
Al40La40Ni20 AM
Al40La45Ni15 AM
Al40La50Ni10 AM
Al40La55Ni5 AM
Al40La60Ni0 AM
Al45La25Ni30 AM
Al45La30Ni25 AM
Al45La35Ni20 AM
Al45La40Ni15 AM
Al45La45Ni10 AM
Al50La25Ni25 AM
Al50La30Ni20 AM
Al50La35Ni15 AM
Al50La40Ni10 AM
Al50La45Ni5 AM
Al50La50Ni0 AM
Al55La20Ni25 AM
Al55La40Ni5 AM
Al55La45Ni0 AM
Al60La20Ni20 AM
Al65La15Ni20 AM
Al70La5Ni25 AM
Al75La5Ni20 AM
Al75La10Ni15 AM
Al80La10Ni10 AM
Al85La5Ni10 AM
Al85La10Ni5 AM
Al90La10Ni0 AM
Al10La25Ni65 AC
Al15La25Ni60 AC
Al20La20Ni60 AC
Al40La15Ni45 AC
Al50La15Ni35 AC
Al55La30Ni15 AC
Al90La5Ni5 AC
Al0La30Ni70 CR
Al0La40Ni60 CR
Al0La50Ni50 CR
Al0La80Ni20 CR
Al0La90Ni10 CR
Al10La10Ni80 CR
Al10La20Ni70 CR
Al10La90Ni0 CR
Al20La10Ni70 CR
Al30La10Ni60 CR
Al30La15Ni55 CR
Al40La10Ni50 CR
Al50La10Ni40 CR
Al55La35Ni10 CR
Al60La10Ni30 CR
Al60La30Ni10 CR
Al60La40Ni0 CR
Al65La25Ni10 CR
Al65La30Ni5 CR
Al70La15Ni15 CR
Al70La20Ni10 CR
Al70La25Ni5 CR
Al70La30Ni0 CR
Al75La15Ni10 CR
Al80La15Ni5 CR
Al80La20Ni0 CR
Al0La60Ni40 AM
Al0La70Ni30 AM
Al5La40Ni55 AM
Al5La55Ni40 AM
Al5La65Ni30 AM
Al5La75Ni20 AM
Al10La30Ni60 AM
Al10La35Ni55 AM
Al10La40Ni50 AM
Al10La45Ni45 AM
Al10La50Ni40 AM
Al10La55Ni35 AM
Al10La60Ni30 AM
Al10La65Ni25 AM
Al10La70Ni20 AM
Al10La75Ni15 AM
Al10La80Ni10 AM
Al15La30Ni55 AM
Al15La40Ni45 AM
Al15La50Ni35 AM
Al15La55Ni30 AM
Al15La60Ni25 AM
Al15La65Ni20 AM
Al15La70Ni15 AM
Al15La75Ni10 AM
Al15La80Ni5 AM
Al20La30Ni50 AM
Al20La35Ni45 AM
Al20La40Ni40 AM
Al20La45Ni35 AM
Al20La50Ni30 AM
Al20La55Ni25 AM
Al20La60Ni20 AM
Al20La65Ni15 AM
Al20La70Ni10 AM
Al20La75Ni5 AM
Al20La80Ni0 AM
Al25La20Ni55 AM
Al25La30Ni45 AM
Al25La40Ni35 AM
Al25La45Ni30 AM
Al25La50Ni25 AM
Al25La55Ni20 AM
Al25La60Ni15 AM
Al25La65Ni10 AM
Al25La70Ni5 AM
Al30La20Ni50 AM
Al30La25Ni45 AM
Al30La30Ni40 AM
Al30La35Ni35 AM
Al30La40Ni30 AM
Al30La45Ni25 AM
Al30La50Ni20 AM
Al30La55Ni15 AM
Al30La60Ni10 AM
Al30La65Ni5 AM
Al30La70Ni0 AM
Al35La25Ni40 AM
Al35La30Ni35 AM
Al35La35Ni30 AM
Al35La40Ni25 AM
Al35La45Ni20 AM
Al35La50Ni15 AM
Al35La55Ni10 AM
Al35La60Ni5 AM
Al40La20Ni40 AM
Al40La25Ni35 AM
Al40La30Ni30 AM
Al40La35Ni25 AM
Al40La40Ni20 AM
Al40La45Ni15 AM
Al40La50Ni10 AM
Al40La55Ni5 AM
Al40La60Ni0 AM
Al45La25Ni30 AM
Al45La30Ni25 AM
Al45La35Ni20 AM
Al45La40Ni15 AM
Al45La45Ni10 AM
Al50La20Ni30 AM
Al50La25Ni25 AM
Al50La30Ni20 AM
Al50La35Ni15 AM
Al50La40Ni10 AM
Al50La45Ni5 AM
Al50La50Ni0 AM
Al55La20Ni25 AM
Al55La40Ni5 AM
Al55La45Ni0 AM
Al60La20Ni20 AM
Al65La15Ni20 AM
Al70La5Ni25 AM
Al75La5Ni20 AM
Al75La10Ni15 AM
Al80La10Ni10 AM
Al84La10Ni6 AM
Al85La5Ni10 AM
Al85La10Ni5 AM
Al88La10Ni2 AM
Al90La10Ni0 AM
Al91La7Ni2 AM
Al10La25Ni65 AC
Al15La25Ni60 AC
Al20La20Ni60 AC
Al40La15Ni45 AC
Al50La15Ni35 AC
Al55La30Ni15 AC
Al90La5Ni5 AC
Al0La30Ni70 CR
Al0La40Ni60 CR
Al0La50Ni50 CR
Al0La80Ni20 CR
Al0La90Ni10 CR
Al10La10Ni80 CR
Al10La20Ni70 CR
Al10La90Ni0 CR
Al20La10Ni70 CR
Al30La10Ni60 CR
Al30La15Ni55 CR
Al40La10Ni50 CR
Al50La10Ni40 CR
Al55La35Ni10 CR
Al60La10Ni30 CR
Al60La30Ni10 CR
Al60La40Ni0 CR
Al65La25Ni10 CR
Al65La30Ni5 CR
Al70La15Ni15 CR
Al70La20Ni10 CR
Al70La25Ni5 CR
Al70La30Ni0 CR
Al75La15Ni10 CR
Al80La15Ni5 CR
Al80La20Ni0 CR
Al85La6Ni9 AM
Al88La7Ni5 AM
Al0La48Ni52 AM
Al0La80Ni20 AM
Al1La49Ni50 AM
Al1La81Ni18 AM
Al2La39Ni59 AM
Al2La40Ni58 AM
Al2La42Ni56 AM
Al2La44Ni54 AM
Al2La82Ni16 AM
Al3La83Ni14 AM
Al4La36Ni60 AM
Al5La83Ni12 AM
Al5La85Ni10 AM
Al6La30Ni64 AM
Al6La32Ni62 AM
Al6La86Ni8 AM
Al8La86Ni6 AM
Al9La27Ni64 AM
Al10La86Ni4 AM
Al11La27Ni62 AM
Al11La87Ni2 AM
Al13La87Ni0 AM
Al15La26Ni59 AM
Al17La24Ni59 AM
Al19La22Ni59 AM
Al21La20Ni59 AM
Al24La18Ni58 AM
Al26La18Ni56 AM
Al28La18Ni54 AM
Al30La18Ni52 AM
Al32La18Ni50 AM
Al34La18Ni48 AM
Al36La18Ni46 AM
Al38La18Ni44 AM
Al40La18Ni42 AM
Al42La18Ni40 AM
Al44La18Ni38 AM
Al46La18Ni36 AM
Al48La18Ni34 AM
Al50La18Ni32 AM
Al53La30Ni17 AM
Al53La32Ni15 AM
Al53La34Ni13 AM
Al53La36Ni11 AM
Al53La37Ni10 AM
Al54La16Ni30 AM
Al55La28Ni17 AM
Al55La37Ni8 AM
Al56La16Ni28 AM
Al56La40Ni4 AM
Al56La42Ni2 AM
Al57La26Ni17 AM
Al57La37Ni6 AM
Al57La43Ni0 AM
Al58La14Ni28 AM
Al59La24Ni17 AM
Al60La12Ni28 AM
Al61La22Ni17 AM
Al62La10Ni28 AM
Al63La20Ni17 AM
Al64La8Ni28 AM
Al65La18Ni17 AM
Al66La6Ni28 AM
Al67La16Ni17 AM
Al68La4Ni28 AM
Al69La14Ni17 AM
Al71La13Ni16 AM
Al72La2Ni26 AM
Al73La13Ni14 AM
Al74La2Ni24 AM
Al75La13Ni12 AM
Al76La2Ni22 AM
Al77La13Ni10 AM
Al78La2Ni20 AM
Al79La13Ni8 AM
Al80La2Ni18 AM
Al81La13Ni6 AM
Al82La2Ni16 AM
Al83La13Ni4 AM
Al84La2Ni14 AM
Al85La13Ni2 AM
Al86La2Ni12 AM
Al86La14Ni0 AM
Al87La5Ni8 AM
Al88La2Ni10 AM
Al88La6Ni6 AM
Al89La7Ni4 AM
Al90La8Ni2 AM
Al92La8Ni0 AM
Al25La55Ni20 AM
Al0La70Ni30 AM
Al10La60Ni30 AM
Al20La50Ni30 AM
Al30La40Ni30 AM
Al40La30Ni30 AM
Al25La55Ni20 AM
Al91La5Ni4 AM
Al91La5Ni4 AM
Al30La50Ni20 AM
Al25La55Pt20 AM
Al25La55Zn20 AM
Al85La7.5Zr7.5 AM
Al42Mg44Pd14 CR
Al46Mg40Pd14 CR
Al48Mg22Pd30 CR
Al50Mg36Pd14 CR
Al52Mg18Pd30 CR
Al54Mg32Pd14 CR
Al53Mg21Pd26 AM
Al71Mg17Pd12 AM
Al50Mg25Pd25 AC
Al43Mg44Pd13 CR
Al52Mg17Pd31 CR
Al55Mg15Pd30 CR
Al74Mg5Pd21 CR
Al0Mg60Zn40 AM
Al0Mg65Zn35 AM
Al0Mg70Zn30 AM
Al0Mg75Zn25 AM
Al5Mg50Zn45 AM
Al5Mg60Zn35 AM
Al5Mg65Zn30 AM
Al5Mg70Zn25 AM
Al5Mg75Zn20 AM
Al10Mg65Zn25 AM
Al10Mg70Zn20 AM
Al10Mg75Zn15 AM
Al0Mg55Zn45 AC
Al0Mg80Zn20 AC
Al0Mg85Zn15 AC
Al5Mg80Zn15 AC
Al10Mg80Zn10 AC
Al15Mg70Zn15 AC
Al15Mg75Zn10 AC
Al15Mg80Zn5 AC
Al20Mg70Zn10 AC
Al10Mg40Zn50 CR
Al10Mg50Zn40 CR
Al10Mg60Zn30 CR
Al20Mg40Zn40 CR
Al20Mg50Zn30 CR
Al20Mg60Zn20 CR
Al30Mg40Zn30 CR
Al30Mg50Zn20 CR
Al40Mg40Zn20 CR
Al50Mg40Zn10 CR
Al0Mg90Zn10 CR
Al0Mg95Zn5 CR
Al5Mg85Zn10 CR
Al5Mg90Zn5 CR
Al10Mg85Zn5 CR
Al30Mg60Zn10 CR
Al40Mg50Zn10 CR
Al10Mg80Zn10 CR
Al86.5Mn1Ni12.5 AM
Al86.5Mn2Ni11.5 AM
Al87Mn1Ni12 AM
Al87Mn2Ni11 AM
Al87Mn2.5Ni10.5 AM
Al87.5Mn0.5Ni12 AM
Al88Mn1Ni11 AM
Al88Mn2Ni10 AM
Al82Mn6Ni12 AC
Al83Mn4Ni13 AC
Al84Mn4Ni12 AC
Al84Mn4Ni12 AC
Al84Mn6Ni10 AC
Al84Mn6Ni10 AC
Al85Mn2Ni13 AC
Al85Mn7Ni8 AC
Al86Mn0Ni14 AC
Al86Mn0Ni14 AC
Al86Mn4Ni10 AC
Al86Mn4Ni10 AC
Al86Mn6Ni8 AC
Al86Mn6Ni8 AC
Al86Mn8Ni6 AC
Al88Mn0Ni12 AC
Al88Mn0Ni12 AC
Al88Mn2Ni10 AC
Al88Mn2Ni10 AC
Al88Mn4Ni8 AC
Al88Mn4Ni8 AC
Al88Mn6Ni6 AC
Al88Mn6Ni6 AC
Al89Mn2Ni9 AC
Al90Mn0Ni10 AC
Al90Mn0Ni10 AC
Al90Mn2Ni8 AC
Al90Mn2Ni8 AC
Al90Mn4Ni6 AC
Al90Mn4Ni6 AC
Al90Mn6Ni4 AC
Al90Mn6Ni4 AC
Al92Mn0Ni8 AC
Al92Mn0Ni8 AC
Al92Mn2Ni6 AC
Al92Mn2Ni6 AC
Al92Mn4Ni4 AC
Al92Mn4Ni4 AC
Al92Mn6Ni2 AC
Al92Mn6Ni2 AC
Al94Mn2Ni4 AC
Al94Mn2Ni4 AC
Al94Mn4Ni2 AC
Al94Mn4Ni2 AC
Al94Mn0Ni6 CR
Al94Mn0Ni6 CR
Al94Mn6Ni0 CR
Al96Mn0Ni4 CR
Al96Mn0Ni4 CR
Al96Mn2Ni2 CR
Al96Mn2Ni2 CR
Al96Mn4Ni0 CR
Al96Mn4Ni0 CR
Al98Mn0Ni2 CR
Al98Mn0Ni2 CR
Al98Mn2Ni0 CR
Al98Mn2Ni0 CR
Al100Mn0Ni0 CR
Al80Mn6Ni14 CR
Al80Mn8Ni12 CR
Al82Mn4Ni14 CR
Al82Mn6Ni12 CR
Al82Mn8Ni10 CR
Al84Mn2Ni14 CR
Al84Mn8Ni8 CR
Al86Mn8Ni6 CR
Al88Mn8Ni4 CR
Al90Mn8Ni2 CR
Al92Mn8Ni0 CR
Al80Mn15Ni5 CR
Al45Mn20Si35 AM
Al50Mn15Si35 AM
Al50Mn20Si30 AM
Al55Mn10Si35 AM
Al55Mn15Si30 AM
Al55Mn20Si25 AM
Al60Mn10Si30 AM
Al60Mn15Si25 AM
Al65Mn10Si25 AM
Al65Mn15Si20 AM
Al40Mn25Si35 AC
Al45Mn15Si40 AC
Al50Mn25Si25 AC
Al60Mn5Si35 AC
Al70Mn5Si25 AC
Al60Mn20Si20 CR
Al65Mn20Si15 CR
Al60Mn10Si30 AM
Al66Mn14Si20 AM
Al60Mn20Si20 CR
Al76.6Mn17.4Si6 CR
Al78.6Mn17.4Si4 CR
Al66.6Mn17.4Si16 CR
Al68.6Mn17.4Si14 CR
Al70.6Mn17.4Si12 CR
Al72.5Mn17.4Si10.1 CR
Al74.6Mn17.4Si8 CR
Al53Mn20Si27 AM
Al15Mn15Zr70 AM
Al65Mo5Ni30 AM
Al70Mo5Ni25 AM
Al70Mo10Ni20 AM
Al75Mo5Ni20 AM
Al75Mo10Ni15 AM
Al80Mo5Ni15 AM
Al85Mo3Ni12 AM
Al85Mo5Ni10 AM
Al65Nd15Ni20 AM
Al70Nd10Ni20 AM
Al70Nd15Ni15 AM
Al74Nd10Ni16 AM
Al75Nd10Ni15 AM
Al75Nd15Ni10 AM
Al79Nd10Ni11 AM
Al80Nd5Ni15 AM
Al80Nd10Ni10 AM
Al81Nd9Ni10 AM
Al83Nd7Ni10 AM
Al83Nd9Ni8 AM
Al84Nd10Ni6 AM
Al85Nd5Ni10 AM
Al85Nd7Ni8 AM
Al85Nd9Ni6 AM
Al85Nd10Ni5 AM
Al86Nd14Ni0 AM
Al87Nd5Ni8 AM
Al87Nd7Ni6 AM
Al88Nd10Ni2 AM
Al88Nd12Ni0 AM
Al90Nd5Ni5 AM
Al90Nd10Ni0 AM
Al92Nd8Ni0 AM
Al80Nd15Ni5 AC
Al65Nd20Ni15 CR
Al70Nd20Ni10 CR
Al75Nd5Ni20 CR
Al75Nd20Ni5 CR
Al94Nd6Ni0 CR
Al25Nd55Ni20 AM
Al80Nd2Ni18 AM
Al80Nd4Ni16 AM
Al80Nd8Ni12 AM
Al80Nd10Ni10 AM
Al80Nd12Ni8 AM
Al82Nd2Ni16 AM
Al82Nd4Ni14 AM
Al82Nd6Ni12 AM
Al82Nd8Ni10 AM
Al82Nd10Ni8 AM
Al84Nd1Ni15 AM
Al84Nd2Ni14 AM
Al84Nd4Ni12 AM
Al84Nd6Ni10 AM
Al84Nd8Ni8 AM
Al84Nd10Ni6 AM
Al84Nd12Ni4 AM
Al85Nd2Ni13 AM
Al86Nd1Ni13 AM
Al86Nd2Ni12 AM
Al86Nd4Ni10 AM
Al86Nd6Ni8 AM
Al86Nd8Ni6 AM
Al86Nd10Ni4 AM
Al88Nd1Ni11 AM
Al88Nd2Ni10 AM
Al88Nd4Ni8 AM
Al88Nd6Ni6 AM
Al88Nd8Ni4 AM
Al88Nd10Ni2 AM
Al88Nd12Ni0 AM
Al90Nd2Ni8 AM
Al90Nd3Ni7 AM
Al90Nd4Ni6 AM
Al90Nd6Ni4 AM
Al90Nd8Ni2 AM
Al90Nd10Ni0 AM
Al92Nd8Ni0 AM
Al86Nd14Ni0 AC
Al90Nd1Ni9 AC
Al92Nd2Ni6 AC
Al92Nd4Ni4 AC
Al92Nd6Ni2 AC
Al94Nd4Ni2 AC
Al94Nd6Ni0 AC
Al96Nd4Ni0 AC
Al98Nd2Ni0 AC
Al94Nd2Ni4 CR
Al96Nd2Ni2 CR
Al52Ni23Si25 AM
Al66Ni10Si24 AM
Al71Ni4Si25 AM
Al79Ni10Si11 AM
Al65Ni15Si20 AM
Al65Ni16Si19 AM
Al65Ni17.5Si17.5 AM
Al66.5Ni15Si18.5 AM
Al67.5Ni15Si17.5 AM
Al70Ni13Si17 AM
Al70Ni15Si15 AM
Al65Ni15Sm20 AM
Al70Ni10Sm20 AM
Al70Ni15Sm15 AM
Al70Ni20Sm10 AM
Al75Ni10Sm15 AM
Al75Ni15Sm10 AM
Al78Ni10Sm12 AM
Al80Ni5Sm15 AM
Al80Ni10Sm10 AM
Al80Ni15Sm5 AM
Al81Ni10Sm9 AM
Al83Ni8Sm9 AM
Al83Ni8Sm9 AM
Al83Ni10Sm7 AM
Al84Ni0Sm16 AM
Al85Ni5Sm10 AM
Al85Ni6Sm9 AM
Al85Ni8Sm7 AM
Al85Ni10Sm5 AM
Al86Ni0Sm14 AM
